,train_accuracy,train_loss,test_accuracy
0,0.004083333333333333,0.6519625552654267,0.0017
1,0.0016833333333333333,0.40934439268906914,0.0001
2,0.00075,0.37933304416338604,0.0004
3,0.0008333333333333334,0.3667961265087128,0.0004
4,0.0009333333333333333,0.41299039883613586,0.0003
5,0.00046666666666666666,0.3557662807941437,0.0004
6,0.0006333333333333333,0.3425915925502777,0.0003
7,0.0006833333333333333,0.34470834590593974,0.0001
8,0.0006,0.3334450905164083,0.0001
9,0.00055,0.3282705895582835,0.0001
10,0.00048333333333333334,0.3150588341554006,0.0001
11,0.00046666666666666666,0.3112404618024826,0.0002
12,0.0005166666666666667,0.31035120663642884,0.0001
13,0.00048333333333333334,0.3099955498377482,0.0001
14,0.0004333333333333333,0.3111375995953878,0.0002
15,0.00046666666666666666,0.31104357035160063,0.0001
16,0.00048333333333333334,0.3074586268901825,0.0001
17,0.00055,0.3058364581267039,0.0002
18,0.0005,0.30503501845995584,0.0002
19,0.0005166666666666667,0.30618089932600656,0.0001
20,0.0005,0.3032806111653646,0.0001
21,0.0005166666666666667,0.30284935169219973,0.0001
22,0.0005166666666666667,0.30293449149131774,0.0001
23,0.0005333333333333334,0.30229495231310527,0.0001
24,0.0005333333333333334,0.3025702040036519,0.0001
25,0.0005333333333333334,0.302081637207667,0.0001
26,0.0005166666666666667,0.30214390376408895,0.0001
27,0.0005333333333333334,0.3017317265192668,0.0001
28,0.0005333333333333334,0.30171136989593506,0.0001
29,0.0005166666666666667,0.30169907960891723,0.0001
